Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-04-16,113.776291,114.483749,109.388145,110.640533,101.136497,6754650,-2.76
2020-04-17,114.053535,115.095604,112.734222,114.837479,104.972923,5194436,0.69
2020-04-20,113.910133,117.456978,112.944550,115.114723,105.226349,8558058,1.06
2020-04-21,108.986618,111.998085,107.131927,111.625237,102.036613,15009054,2.42
2020-04-22,114.598473,115.038239,112.380501,114.063095,104.265053,7412479,-0.47
2020-04-23,114.311661,117.619499,113.881454,116.013382,106.047813,7198154,1.49
2020-04-24,117.026772,119.502869,115.449333,119.235184,108.992867,5215251,1.89
2020-04-27,120.038239,121.405357,119.952202,120.382408,110.041534,5150295,0.29
2020-04-28,122.399620,122.562141,119.866158,120.717018,110.347397,4997893,-1.37
2020-04-29,123.212234,123.623329,121.921608,123.030594,112.462242,5499450,-0.15
2020-04-30,120.956024,121.673042,119.713196,120.038239,109.726936,6941047,-0.76
2020-05-01,117.772469,118.040154,116.051628,116.510513,106.502235,5152073,-1.07
2020-05-04,115.506691,116.606117,114.139580,116.328873,106.336205,4202723,0.71
2020-05-05,117.963669,118.852776,117.084129,117.189293,107.122711,4078772,-0.66
2020-05-06,117.820267,118.594643,117.026772,117.753349,107.638321,4042372,-0.06
2020-05-07,117.571701,117.839386,115.535370,115.898659,107.363754,4615580,-1.42
2020-05-08,117.275337,117.810707,115.736137,117.581261,108.922455,5232615,0.26
2020-05-11,116.453156,118.021034,115.363289,117.198853,108.568207,3697924,0.64
2020-05-12,117.600380,118.852776,114.971321,114.971321,106.504730,5004587,-2.24
2020-05-13,114.674950,114.713196,109.799232,110.640533,102.492851,6153409,-3.52
2020-05-14,109.531548,111.940727,106.892921,111.806885,103.573318,5501332,2.08
2020-05-15,110.831741,112.227531,110.181641,111.835564,103.599884,5006470,0.91
2020-05-18,114.608032,116.978966,114.483749,116.214149,107.656036,4399162,1.4
2020-05-19,115.860420,116.797325,114.856598,115.000000,106.531281,3390191,-0.74
2020-05-20,115.611855,117.084129,115.296364,116.042068,107.496613,4017372,0.37
2020-05-21,115.669212,116.367111,113.738052,113.881454,105.495110,4184941,-1.55
2020-05-22,114.120461,114.216064,112.418739,113.183556,104.848610,4373117,-0.82
2020-05-26,115.965584,117.227531,115.688339,116.405357,107.833145,5720888,0.38
2020-05-27,118.489487,120.296364,118.040154,120.019119,111.180794,5990965,1.29
2020-05-28,121.290634,121.386230,118.757172,119.053535,110.286324,4095404,-1.84
2020-05-29,118.231361,119.627151,116.864243,119.407265,110.613991,8294675,0.99
2020-06-01,119.158699,120.219887,118.575523,119.397705,110.605133,3003798,0.2
2020-06-02,120.143402,120.458893,119.177818,120.458893,111.588188,3115093,0.26
2020-06-03,121.558319,123.900574,121.414917,123.374763,114.289322,4097914,1.49
2020-06-04,122.160614,123.279160,121.434036,123.221794,114.147614,4042581,0.87
2020-06-05,128.001907,128.326965,125.956024,126.252388,116.955032,6163764,-1.37
2020-06-08,126.453156,129.904404,126.453156,129.780121,120.222992,5617543,2.63
2020-06-09,127.648186,127.724663,125.258125,126.070747,116.786766,5641706,-1.24
2020-06-10,126.338432,126.414917,124.091782,124.158699,115.015533,4952601,-1.73
2020-06-11,120.487572,120.554497,112.657745,112.820267,104.512070,12304726,-6.36
2020-06-12,115.917786,117.705544,114.034416,116.548759,107.965996,6506434,0.54
2020-06-15,113.948372,116.988525,113.087952,116.300194,107.735733,5385959,2.06
2020-06-16,119.502869,121.892921,117.743790,119.646271,110.835396,5864608,0.12
2020-06-17,120.296364,120.697899,117.973228,118.690247,109.949776,3302013,-1.34
2020-06-18,117.590820,118.929253,116.950287,118.699806,109.958626,2997208,0.94
2020-06-19,120.621414,121.242828,116.873802,117.084129,108.461937,8471554,-2.93
2020-06-22,116.749519,117.112808,115.229446,115.745697,107.222061,4993081,-0.86
2020-06-23,116.644356,117.495216,113.986618,114.158699,105.751945,6937700,-2.13
2020-06-24,113.116638,113.116638,110.783936,111.300194,103.103943,7061546,-1.61
2020-06-25,111.625237,113.967499,110.994263,113.795410,105.415405,6412608,1.94
2020-06-26,113.059273,113.757172,111.147224,112.036331,103.785873,11244605,-0.9
2020-06-29,112.791588,114.512428,112.208412,114.483749,106.053055,4350837,1.5
2020-06-30,113.948372,115.869980,113.766731,115.458893,106.956390,4099797,1.33
2020-07-01,114.980881,115.898659,113.164436,113.326958,104.981453,4869967,-1.44
2020-07-02,114.426384,116.080307,114.015297,114.435944,106.008759,3919362,0.01
2020-07-06,115.917786,116.491394,114.206497,114.904396,106.442719,4231488,-0.87
2020-07-07,113.766731,114.254303,112.170174,112.409180,104.131256,4474893,-1.19
2020-07-08,112.868073,113.422562,111.357552,112.533463,104.246384,5431669,-0.3
2020-07-09,112.810707,112.810707,110.133842,110.621414,102.475143,4982098,-1.94
2020-07-10,110.420647,113.355644,110.219887,113.145317,104.813194,4482842,2.47
